N_VICTIMAS,TIPO_DE_CALLE,Dirección Normalizada,COMUNA,pos x,pos y,VICTIMA,ACUSADO,fecha_hora
1,AUTOPISTA,"AUTOPISTA 25 DE MAYO y HUERGO, ING. AV.",1,-58.3661,-34.6215,MOTO,SD,2019-04-18 01:00:00
1,AVENIDA,"MORENO, PERITO AV. 3050",7,-58.4554,-34.6509,MOTO,OBJETO FIJO,2019-04-21 09:08:00
1,CALLE,SUIPACHA 665,1,-58.3794,-34.6005,PEATON,BICICLETA,2019-04-23 14:10:00
1,CALLE,RIGLOS y FORMOSA,6,-58.4368,-34.6215,MOTO,AUTO,2019-04-26 22:46:00
1,AVENIDA,LA RIOJA e INDEPENDENCIA AV.,3,-58.4078,-34.6197,MOTO,AUTO,2019-05-01 23:10:00
1,AVENIDA,"UDAONDO, GUILLERMO AV. y FIGUEROA ALCORTA, PRES. AV.",13,-58.4521,-34.5463,PEATON,MOTO,2019-05-04 14:10:00
1,AVENIDA,SAN PEDRITO AV. y DIRECTORIO AV.,7,-58.4675,-34.6355,MOTO,AUTO,2019-05-09 03:05:00
1,CALLE,PUAN y SANTANDER,7,-58.4426,-34.6368,MOTO,SD,2019-05-09 12:45:00
1,AVENIDA,"ALBERDI, JUAN BAUTISTA AV. y ANDALGALA",9,-58.5114,-34.6585,AUTO,MULTIPLE,2019-05-11 20:30:00
1,CALLE,LIMA y CONSTITUCION,1,-58.3821,-34.6247,PEATON,PASAJEROS,2019-05-14 15:00:00
1,AVENIDA,"CORDOBA AV. y MADERO, EDUARDO AV.",1,-58.3695,-34.5983,BICICLETA,CARGAS,2019-05-21 09:00:00
1,AVENIDA,BOEDO AV. 650,5,-58.4164,-34.6204,PEATON,MOTO,2019-05-27 12:45:00
1,AVENIDA,DEL LIBERTADOR AV. y REPUBLICA DE LA INDIA,14,-58.4132,-34.5758,MOTO,CARGAS,2019-06-03 07:27:00
1,GRAL PAZ,"PAZ, GRAL. AV. y CABILDO AV.",13,-58.4762,-34.5383,MOTO,AUTO,2019-06-04 09:00:00
1,AVENIDA,CASEROS AV. 1700,4,-58.3864,-34.6333,PEATON,CARGAS,2019-06-06 10:00:00
1,AVENIDA,AVELLANEDA AV. 1548,6,-58.4532,-34.6204,MOTO,CARGAS,2019-06-07 07:00:00
1,CALLE,CIUDAD DE LA PAZ y MENDOZA,13,-58.4585,-34.5617,PEATON,CARGAS,2019-06-08 09:20:00
1,AVENIDA,"SALGUERO, JERONIMO y HONDURAS AV.",14,-58.4183,-34.5941,MOTO,CARGAS,2019-06-08 23:35:00
1,CALLE,"FILIBERTO, JUAN DE DIOS y OLAVARRIA",4,-58.3638,-34.6383,MOTO,AUTO,2019-06-11 10:00:00
1,AVENIDA,ASTURIAS AV. y CASTAÃ‘ARES AV.,8,-58.4644,-34.66,AUTO,AUTO,2019-06-14 17:20:00
1,CALLE,GANDARA 2976,15,-58.4822,-34.5843,MOTO,OBJETO FIJO,2019-06-20 03:00:00
1,AVENIDA,"GUEVARA, TRINIDAD y MADERO, EDUARDO AV.",1,-58.3682,-34.6028,MOTO,PASAJEROS,2019-06-20 19:45:00
1,AVENIDA,BOYACA AV. 305,7,-58.4588,-34.6233,PEATON,AUTO,2019-06-29 17:16:00
1,CALLE,ARTILLEROS y LA PAMPA,13,-58.442,-34.5576,PEATON,AUTO,2019-07-05 19:00:00
1,AUTOPISTA,AUTOPISTA PERITO MORENO e IRIGOYEN,10,-58.5062,-34.6363,MOTO,PASAJEROS,2019-07-10 09:20:00
1,CALLE,15 DE NOVIEMBRE DE 1889 y SANTIAGO DEL ESTERO,1,-58.3841,-34.631,MOTO,PASAJEROS,2019-07-13 22:35:00
1,AVENIDA,"ACOSTA, MARIANO AV. y FALCON, RAMON L.,CNEL.",10,-58.481,-34.635,PEATON,AUTO,2019-07-17 11:20:00
1,CALLE,11 DE SEPTIEMBRE DE 1888 y MENDOZA,13,-58.452,-34.5578,PEATON,PASAJEROS,2019-07-17 18:40:00
1,AVENIDA,"PINO, VIRREY DEL y CAMPOS, LUIS M. AV.",13,-58.4446,-34.562,PEATON,PASAJEROS,2019-08-01 23:00:00
1,AVENIDA,FOREST AV. y MAURE,15,-58.4522,-34.5871,MOTO,PASAJEROS,2019-08-04 01:30:00
1,AVENIDA,BOYACA AV. y AVELLANEDA AV.,7,-58.4596,-34.6225,MOTO,AUTO,2019-08-06 03:15:00
1,CALLE,BARCO CENTENERA DEL y TILCARA,4,-58.4197,-34.6541,PEATON,PASAJEROS,2019-08-08 16:45:00
1,AVENIDA,RIESTRA AV. y BOLIVAR (NO OFICIAL),7,-58.4419,-34.6494,PEATON,AUTO,2019-08-11 21:15:00
1,CALLE,"CASTRO, EMILIO 4706",10,-58.491,-34.6428,MOTO,CARGAS,2019-08-14 15:00:00
1,AVENIDA,27 DE FEBRERO AV. 5600,8,-58.4249,-34.6626,MOTO,MOTO,2019-08-14 17:40:00
1,AVENIDA,"GARAY, JUAN DE AV. 2874",4,-58.4049,-34.6293,MOTO,AUTO,2019-08-17 05:25:00
1,AVENIDA,"SCALABRINI ORTIZ, RAUL AV. y GORRITI",14,-58.4269,-34.5922,MOTO,BICICLETA,2019-08-22 12:30:00
1,AVENIDA,PRIMERA JUNTA y OLIVERA AV.,9,-58.4796,-34.6562,PEATON,CARGAS,2019-08-27 11:30:00
1,AVENIDA,"ALBERDI, JUAN BAUTISTA AV. y AZUL",10,-58.4744,-34.6352,AUTO,AUTO,2019-08-28 06:20:00
1,AVENIDA,ALVAREZ THOMAS AV. 1788,15,-58.4671,-34.5793,AUTO,OBJETO FIJO,2019-08-29 01:50:00
